列1,列2
地附山,ちゃりとマフラーの妖精が現れる神秘的な山
オデッセイ,２人乗りのスポーツカー
オデ,２人乗りのスポーツカー
ちゃり,命、もしくは学生証をかごに入れて盗むもの
じづ,ちゃりとマフラーの妖精が現れる神秘的な山
魂心家,ラーメン屋。ご飯を食べることが嫌いになれる。店長代理の特別盛りが存在する。
ラクロス,あの棒はクロスっていうらしい
ラグビー,飲むと裸になる集団
彼氏,何で私にはいないの？？私こんなにかわいいのに…
彼女,多数派
フリード,魂心家に連れていかれる車。使い勝手が良すぎる。
デミオ,ラグビー部の足
デミ男,白いコンパクトカー
86,とてもかっこいい車。とてもかっこいい。
ハンドボール,手がべたべたする
艦これ,面白いらしい
ふぁぶ,ログイン不要のwifiがある
fab,ログイン不要のwifiがある
Fab,ログイン不要のwifiがある
あけぼの寮,監獄。とてもアットホームな場所。
寮,もの技では主にあけぼの寮のことを言う、と思う
浅はか,西高語録シリーズ。考えが浅いさま。
あさはか,西高語録シリーズ。考えが浅いさま。
ブロスタ,僕は2年前からコルトを使っていました
フラパ,スマブラのパクリゲー
フラッシュパーティー,スマブラのパクリゲー
フラッシュパーティ,スマブラのパクリゲー
どうぶつタワーバトル,関節技が重要
どうたわ,関節技が重要
どうタワ,関節技が重要
関節技,どうタワでひっかけて固定するテクい技
みつこ,フラパにおける最強キャラ
ミツコ,フラパにおける最強キャラ
すくらっち,僕の十八番
スクラッチ,僕の十八番
Scratch,僕の十八番
でんでん,前期も後期も2年を苦しめる存在
電電,前期も後期も2年を苦しめる存在
こんしんや,ラーメン屋。ご飯を食べることが嫌いになれる。店長代理の特別盛りが存在する。
じず,"誤字。""じず""ではなく""じづ""である。"
ジヅニーランド,地附山のこと
じづニーランド,地附山のこと
じづみん,じづに目覚めたたくみん。まだまだ未熟。
じづミン,じづに目覚めたたくみん。まだまだ未熟。
アブソルート,スポーツモデル。ヤン車に人気。
スマブラ,卒論を妨害するクソゲー。村研の４年はこれに苦しんでいる。
大乱闘,卒論を妨害するクソゲー。村研の４年はこれに苦しんでいる。
ツムツム,ハートを送るゲームらしい
つむつむ,ハートを送るゲームらしい
課金,お金をかけることを総じて課金と言ってる。10万までは微課金。
平均体重だみん,平均体重なたくみん
平均体重だミン,平均体重なたくみん
鼻づづみん,鼻が詰まってるたくみん
づづあき,鼻が詰まってる西高生の一人
精鋭,西高語録シリーズ。とにかく優秀なさま。
チャッピー,chatGPTのこと。ラグビー部の酒豪が飼いならしている。
ちゃっぴー,chatGPTのこと。ラグビー部の酒豪が飼いならしている。
かわいい,私やん
かわい,私？
かわ,…？
